unit_id,source_file,speaker,start_line,end_line,text,descriptive_codes,interpretive_codes,modality,constructs
U0031-1,Master Interviews Transcripts.txt,Anna,36,36,What kind of support do you feel you need most right now?,emotional support,interpretive context,general,general
U0032-1,Master Interviews Transcripts.txt,Daniel,37,38,"Clarity and strategy. Like, am I applying to the right roles? Is my portfolio wrong?",portfolio/case study feedback,interpretive context,general,general
U0032-2,Master Interviews Transcripts.txt,Daniel,37,38,Am I too generalist? Should I specialize? And also confidence.,general career context,interpretive context,general,general
U0032-3,Master Interviews Transcripts.txt,Daniel,37,38,"After many rejections, I start thinking I’m the problem. But I also know the market is tough. So it’s both.",hybrid preference,interpretive context,hybrid,general
U0032-4,Master Interviews Transcripts.txt,Daniel,37,38,3) Career support in general,emotional support,interpretive context,general,general
U0033-1,Master Interviews Transcripts.txt,Anna,39,39,When you need career support like practical or emotional then who or what do you usually turn to?,emotional support,emotional support is limited,general,emotional support
U0034-1,Master Interviews Transcripts.txt,Daniel,40,40,"Friends first. I have one friend who’s a developer. He’s good for keep going, but he doesn’t understand design hiring.",general career context,interpretive context,human,general
U0034-2,Master Interviews Transcripts.txt,Daniel,40,40,"I talk to my sister back home sometimes, but she’s like, Just get any job, which isn’t helpful hahaha.",general career context,interpretive context,human,general
U0035-1,Master Interviews Transcripts.txt,Anna,41,41,"Yeah, my mother does the same hahaha. I understand. What about more formal support like career services, mentors, coaches?",human coaching experience; emotional support,interpretive context,human,general
U0036-1,Master Interviews Transcripts.txt,Daniel,42,42,"I tried a career service once, like an integration center thing. They helped with German CV format. Lebensrough?",cv wording; language barrier; perceived effectiveness,interpretive context,human,effectiveness
U0036-2,Master Interviews Transcripts.txt,Daniel,42,42,"Basic stuff. It felt generic and more for traditional roles. And then I used ADPList, which is more design-specific.",human coaching experience,template advice undermines trust,general,general
U0037-1,Master Interviews Transcripts.txt,Anna,43,43,Any other resources?,general career context,interpretive context,general,general
U0038-1,Master Interviews Transcripts.txt,Daniel,44,44,"YouTube, honestly. Portfolio tips, case study tips. Medium articles too, but it’s too much content.",portfolio/case study feedback,interpretive context,general,general
U0038-2,Master Interviews Transcripts.txt,Daniel,44,44,And sometimes I use ChatGPT for rewriting bullet points or prepping for interviews.,cv wording; ai tool usage,ai useful for production tasks,ai,general
U0039-1,Master Interviews Transcripts.txt,Anna,45,45,What tends to feel genuinely helpful?,general career context,interpretive context,general,general
U0040-1,Master Interviews Transcripts.txt,Daniel,46,46,"Something actionable. Like, change this section of your case study, or your headline is unclear, or here are keywords you’re missing.If it’s concrete, I can do it. If it’s motivational talk, it feels nice for a moment, but then I still don’t know what to do.",cv wording; portfolio/case study feedback; actionability/structure,effectiveness equals actionability,general,actionability
U0041-1,Master Interviews Transcripts.txt,Anna,47,47,And what feels unhelpful?,general career context,interpretive context,general,general
U0042-1,Master Interviews Transcripts.txt,Daniel,48,49,"Advice that ignores context. Like, just network more, without understanding language barriers or how drained I am. Or just do a personal project, when I already did three and I also need money.",language barrier; ai tool usage; context sensitivity,human adds nuance and context,ai,context
U0042-2,Master Interviews Transcripts.txt,Daniel,48,49,Context-blind advice. 4) Human coaching: experience & trust,trust/safety experience; human coaching experience; context sensitivity,human adds nuance and context,human,trust; context
U0043-1,Master Interviews Transcripts.txt,Anna,50,50,"You mentioned ADPList. Can you walk me through your experience? How many sessions did you did, what you expected, and how it went overall?",human coaching experience,interpretive context,general,general
U0044-1,Master Interviews Transcripts.txt,Daniel,51,51,"I used ADPList maybe six sessions over about a year, with different mentors. I expected portfolio feedback, career direction, maybe interview prep.",portfolio/case study feedback; human coaching experience,interpretive context,human,general
U0045-1,Master Interviews Transcripts.txt,Anna,52,52,What was the experience like in most sessions?,general career context,interpretive context,general,general
U0046-1,Master Interviews Transcripts.txt,Daniel,53,53,Most were okay. Not horrible. But not a wow.,general career context,interpretive context,general,general
U0046-2,Master Interviews Transcripts.txt,Daniel,53,53,"A lot were surface-level. Like they glance at the portfolio and say looks good, and then they talk about their own career a lot. And I’m sitting there thinking, okay, but what do I do tomorrow?",portfolio/case study feedback,template advice undermines trust,general,general
U0046-3,Master Interviews Transcripts.txt,Daniel,53,53,You know?,general career context,interpretive context,general,general
U0047-1,Master Interviews Transcripts.txt,Anna,54,54,Can you describe one session that felt neutral or disappointing what happened?,general career context,interpretive context,general,general
U0048-1,Master Interviews Transcripts.txt,Daniel,55,55,Yeah. One mentor was a senior designer at a huge tech company. I booked him because I thought he’d know about hiring.,human coaching experience,interpretive context,human,general
U0048-2,Master Interviews Transcripts.txt,Daniel,55,55,"He was clearly smart, but he was rushing. He kept checking another screen. And he kept saying, where is your impact?",perceived effectiveness,interpretive context,general,effectiveness
U0048-3,Master Interviews Transcripts.txt,Daniel,55,55,"Where are your metrics? And I said, i was freelance, I don’t have metrics. And he was like, then create metrics.",ai tool usage,interpretive context,ai,general
U0048-4,Master Interviews Transcripts.txt,Daniel,55,55,"And I was like… how? I can’t invent numbers. And he said, you can approximate.That triggered a trust issue for me.",trust/safety experience; ai tool usage; ethical boundary concern,ethics and honesty shape trust,ai,trust; ethics
U0048-5,Master Interviews Transcripts.txt,Daniel,55,55,I don’t want to lie.,ethical boundary concern,ethics and honesty shape trust,general,ethics
U0049-1,Master Interviews Transcripts.txt,Anna,56,56,What did that do to your trust in him?,trust/safety experience,interpretive context,general,trust
U0050-1,Master Interviews Transcripts.txt,Daniel,57,57,"It dropped. I trusted his competence in big-tech storytelling, but I didn’t trust his alignment with me, and I didn’t trust the ethics of what he was suggesting. Also he didn’t ask questions about my situation, Germany, language, anything.",language barrier; trust/safety experience; ethical boundary concern,human adds nuance and context; ethics and honesty shape trust,general,trust; ethics; context
U0050-2,Master Interviews Transcripts.txt,Daniel,57,57,It was like a template advice.,general career context,template advice undermines trust,general,general
U0051-1,Master Interviews Transcripts.txt,Anna,58,58,Was there anything about safety or confidentiality that mattered in that moment?,privacy concern; trust/safety experience,trust depends on presence and empathy,general,trust; privacy
U0052-1,Master Interviews Transcripts.txt,Daniel,59,59,"Yeah, because it’s a stranger. You’re already a bit vulnerable. And when someone is distracted, you don’t feel safe to open up.",trust/safety experience,trust depends on presence and empathy,general,trust
U0052-2,Master Interviews Transcripts.txt,Daniel,59,59,So you keep it superficial.,general career context,interpretive context,general,general
U0053-1,Master Interviews Transcripts.txt,Anna,60,60,And you said one session felt truly helpful. Can you describe that one?,ai tool usage,interpretive context,ai,general
U0054-1,Master Interviews Transcripts.txt,Daniel,61,61,"That was with a mentor who worked at a mid-size German company. She was also an immigrant, from Brazil. And I think it mattered because she understood the stress.",language barrier; human coaching experience; context sensitivity,human adds nuance and context,human,context
U0054-2,Master Interviews Transcripts.txt,Daniel,61,61,"She started by asking questions: my story, what I tried, what I want, constraints. She asked about my German level, and how I present myself in interviews. She also asked what stability means for me like contract, team, insurance.",language barrier; ai tool usage,trust depends on presence and empathy,ai,general
U0054-3,Master Interviews Transcripts.txt,Daniel,61,61,It felt structured.,actionability/structure,interpretive context,general,general
U0055-1,Master Interviews Transcripts.txt,Anna,62,62,What did she do that built trust for you?,trust/safety experience,interpretive context,general,trust
U0056-1,Master Interviews Transcripts.txt,Daniel,63,63,"She was fully present. She took notes and told me she’s taking notes. She shared her screen and made a little structure, goal constraints strengths, gaps, actions.",ai tool usage; actionability/structure,trust depends on presence and empathy; effectiveness equals actionability,ai,actionability
U0056-2,Master Interviews Transcripts.txt,Daniel,63,63,"Then she gave feedback in a gentle way. She said my portfolio is visually strong, but the case studies read like a story without decisions. And she gave me a framework: problem, role, options considered, decision, result, reflection.",portfolio/case study feedback; ai tool usage,interpretive context,ai,general
U0056-3,Master Interviews Transcripts.txt,Daniel,63,63,Then she told me to pick two projects and rewrite them using that.,general career context,ai useful for production tasks,general,general
U0057-1,Master Interviews Transcripts.txt,Anna,64,64,Did anything change after that session?,general career context,interpretive context,general,general
U0058-1,Master Interviews Transcripts.txt,Daniel,65,65,Yes. I rewrote one case study. I changed my LinkedIn headline.,cv wording; portfolio/case study feedback; perceived effectiveness,interpretive context,general,effectiveness
U0058-2,Master Interviews Transcripts.txt,Daniel,65,65,"She suggested I apply to “Product Designer” roles instead of “UX/UI Designer,” because in Germany the naming is different. She also told me to add a line like Deutsch B1 working on it instead of hiding it. That felt honest.",language barrier; context sensitivity,human adds nuance and context,general,context
U0059-1,Master Interviews Transcripts.txt,Anna,66,66,"If you think about trust in human mentors, what are your personal trust triggers?",trust/safety experience; human coaching experience,interpretive context,human,trust
U0060-1,Master Interviews Transcripts.txt,Daniel,67,67,"Competence, empathy, structure. And humility. If someone says, i don’t know that’s fine.",actionability/structure,trust depends on presence and empathy,general,general
U0060-2,Master Interviews Transcripts.txt,Daniel,67,67,"If they pretend, I hate it. And being fully present matters a lot.",general career context,trust depends on presence and empathy,general,general
U0061-1,Master Interviews Transcripts.txt,Anna,68,68,And what makes you distrust?,trust/safety experience,interpretive context,general,trust
U0062-1,Master Interviews Transcripts.txt,Daniel,69,70,"Overconfidence, generic advice, distraction. Also when mentors push their own path like it’s universal. And sometimes the power imbalance, like they treat take-home tasks as nothing, but for me it’s unpaid time I can’t afford.",human coaching experience; ai tool usage; actionability/structure,template advice undermines trust; effectiveness equals actionability,hybrid,actionability
U0062-2,Master Interviews Transcripts.txt,Daniel,69,70,5) AI tools: experience & trust,trust/safety experience; ai tool usage,interpretive context,ai,trust
U0063-1,Master Interviews Transcripts.txt,Anna,71,71,Now let’s talk about AI tools like ChatGPT. How do you use them for career-related questions?,ai tool usage,interpretive context,ai,general
U0064-1,Master Interviews Transcripts.txt,Daniel,72,72,Mostly for rewriting. I paste bullet points and ask it to make them more concise or more impact-oriented. Sometimes I ask for keyword ideas from job descriptions.,cv wording; perceived effectiveness,ai useful for production tasks,general,effectiveness
U0064-2,Master Interviews Transcripts.txt,Daniel,72,72,It’s like a writing assistant.,general career context,ai useful for production tasks,general,general
U0065-1,Master Interviews Transcripts.txt,Anna,73,73,Can you give a concrete example where it helped?,perceived effectiveness; actionability/structure,effectiveness equals actionability,general,effectiveness; actionability
U0066-1,Master Interviews Transcripts.txt,Daniel,74,74,I had a bullet like designed onboarding screens for fintech app. Very flat. ChatGPT suggested stronger phrasing like redesigned onboarding flow by simplifying steps and improving clarity.,cv wording; ai tool usage,ai useful for production tasks,ai,general
U0066-2,Master Interviews Transcripts.txt,Daniel,74,74,"It also gave me versions without fake metrics, if I ask it not to invent numbers. That helped me upgrade the tone.",perceived effectiveness; ethical boundary concern,ethics and honesty shape trust,general,effectiveness; ethics
U0067-1,Master Interviews Transcripts.txt,Anna,75,75,And a moment where it failed or felt untrustworthy?,trust/safety experience; ai tool usage,interpretive context,ai,trust
U0068-1,Master Interviews Transcripts.txt,Daniel,76,76,"One time I asked how to answer Why did you move to Germany? and it gave me this super polished, fake-sounding story about german innovation culture, and it didn’t sound like me. It also assumed a visa type incorrectly, like it just made an assumption.",language barrier; ethical boundary concern; context sensitivity,human adds nuance and context,general,context
U0068-2,Master Interviews Transcripts.txt,Daniel,76,76,That reminded me that I don't know my life.,general career context,interpretive context,general,general
U0069-1,Master Interviews Transcripts.txt,Anna,77,77,Do you have privacy concerns when using it?,privacy concern,privacy caution limits disclosure,general,privacy
U0070-1,Master Interviews Transcripts.txt,Daniel,78,78,"Yes. I don’t paste sensitive info. I remove company names sometimes, or I generalize.",privacy concern,privacy caution limits disclosure,general,privacy
U0070-2,Master Interviews Transcripts.txt,Daniel,78,78,I’m cautious.,general career context,interpretive context,general,general
U0071-1,Master Interviews Transcripts.txt,Anna,79,79,"When you think about “trust” in AI, what does trust mean for you?",trust/safety experience; ai tool usage,interpretive context,ai,trust
U0072-1,Master Interviews Transcripts.txt,Daniel,80,80,"Accuracy and boundaries. It should be able to say it’s unsure, but it rarely does. It always gives an answer.",general career context,interpretive context,general,general
U0072-2,Master Interviews Transcripts.txt,Daniel,80,80,"And I trust it more when it explains the changes, like why a sentence is stronger.",trust/safety experience; ai tool usage,interpretive context,ai,trust
U0073-1,Master Interviews Transcripts.txt,Anna,81,81,Do you ever use it for emotional support during the job search?,emotional support,emotional support is limited,general,emotional support
U0074-1,Master Interviews Transcripts.txt,Daniel,82,83,Sometimes. When I get rejected I ask how to cope. It’s comforting in a shallow way because it doesn’t judge me.,emotional support,emotional support is limited,general,emotional support
U0074-2,Master Interviews Transcripts.txt,Daniel,82,83,But it doesn’t replace a friend. 6) Human vs AI comparison via tasks,human coaching experience; ai tool usage,emotional support is limited,hybrid,general
U0075-1,Master Interviews Transcripts.txt,Anna,84,84,"I’m going to name a few tasks, and for each one tell me whether you’d prefer a human coach, AI, or both, and why. For improving CV or LinkedIn wording?",cv wording; human coaching experience; ai tool usage,ai useful for production tasks,hybrid,general
U0076-1,Master Interviews Transcripts.txt,Daniel,85,85,"AI first. It’s fast, cheap, and I can iterate without feeling embarrassed. Then maybe a human to check if it sounds authentic and aligned.",human coaching experience; ai tool usage,interpretive context,hybrid,general
U0077-1,Master Interviews Transcripts.txt,Anna,86,86,"For deciding what roles to apply for UX, product designer, something else?",general career context,interpretive context,general,general
U0078-1,Master Interviews Transcripts.txt,Daniel,87,87,"Human or hybrid. AI gives generic lists. A human can ask about my preferences and constraints, and also understand Germany context.",language barrier; human coaching experience; ai tool usage,template advice undermines trust; human adds nuance and context,hybrid,context
U0078-2,Master Interviews Transcripts.txt,Daniel,87,87,But it has to be a good match.,matching/fit,matching drives trust,general,general
U0079-1,Master Interviews Transcripts.txt,Anna,88,88,For interview preparation?,general career context,interpretive context,general,general
U0080-1,Master Interviews Transcripts.txt,Daniel,89,89,"Hybrid. AI for practicing phrasing and structure, human for feedback on how I come across, tone, confidence, if my story lands.",human coaching experience; ai tool usage; hybrid preference,interpretive context,hybrid,general
U0081-1,Master Interviews Transcripts.txt,Anna,90,90,"For values clarification, figuring out what you really want?",general career context,interpretive context,general,general
U0082-1,Master Interviews Transcripts.txt,Daniel,91,91,Human. AI gets cliche there. A human can hold silence and challenge me in a useful way.,human coaching experience; ai tool usage,interpretive context,hybrid,general
U0083-1,Master Interviews Transcripts.txt,Anna,92,92,For handling rejection and motivation?,general career context,interpretive context,general,general
U0084-1,Master Interviews Transcripts.txt,Daniel,93,93,"Honestly, friends. But if it’s between AI and coach, then human. AI can help at 2 a.m.",human coaching experience; ai tool usage,interpretive context,hybrid,general
U0084-2,Master Interviews Transcripts.txt,Daniel,93,93,"with calming words, but it’s limited.",general career context,interpretive context,general,general
U0085-1,Master Interviews Transcripts.txt,Anna,94,94,"I want to add a quick rating moment. From 0 to 10, how would you rate your trust in human career coaches or mentors for your situation?",trust/safety experience; human coaching experience,interpretive context,human,trust
U0086-1,Master Interviews Transcripts.txt,Daniel,95,95,I’d say 6.,general career context,interpretive context,general,general
U0087-1,Master Interviews Transcripts.txt,Anna,96,96,Why 6?,general career context,interpretive context,general,general
U0088-1,Master Interviews Transcripts.txt,Daniel,97,97,"Because humans can be great, and I experienced that. But it’s inconsistent. So I trust the concept, not automatically the person.",trust/safety experience; human coaching experience,interpretive context,human,trust
U0089-1,Master Interviews Transcripts.txt,Anna,98,98,"And your trust in AI tools like ChatGPT, 0 to 10?",trust/safety experience; ai tool usage,interpretive context,ai,trust
U0090-1,Master Interviews Transcripts.txt,Daniel,99,99,Maybe 5.,general career context,interpretive context,general,general
U0091-1,Master Interviews Transcripts.txt,Anna,100,100,Why 5?,general career context,interpretive context,general,general
U0092-1,Master Interviews Transcripts.txt,Daniel,101,101,"It’s useful, but it can hallucinate and miss context. I trust it for writing support, not for truth.",trust/safety experience; emotional support; context sensitivity,human adds nuance and context,general,trust; context
U0093-1,Master Interviews Transcripts.txt,Anna,102,102,"Now effectiveness. How effective has human coaching been for your situation overall, 0 to 10?",perceived effectiveness; human coaching experience,interpretive context,human,effectiveness
U0094-1,Master Interviews Transcripts.txt,Daniel,103,103,Effectiveness… maybe 4.,perceived effectiveness,interpretive context,general,effectiveness
U0095-1,Master Interviews Transcripts.txt,Anna,104,104,Why 4?,general career context,interpretive context,general,general
U0096-1,Master Interviews Transcripts.txt,Daniel,105,105,"Because only one session really changed things. The rest felt like noise. And I still don’t have stable work, so overall impact is low.",perceived effectiveness,interpretive context,general,effectiveness
U0097-1,Master Interviews Transcripts.txt,Anna,106,106,"And effectiveness of AI tools for your situation, 0 to 10?",perceived effectiveness; ai tool usage,interpretive context,ai,effectiveness
U0098-1,Master Interviews Transcripts.txt,Daniel,107,107,Maybe 6.,general career context,interpretive context,general,general
U0099-1,Master Interviews Transcripts.txt,Anna,108,108,Why higher?,general career context,interpretive context,general,general
U0100-1,Master Interviews Transcripts.txt,Daniel,109,109,"Because it actually improved the output my CV language, cover letters, and speed. I got more replies when my documents were clearer. It doesn’t solve direction, but it helps a lot with production.",cv wording; language barrier; ethical boundary concern,human adds nuance and context; ethics and honesty shape trust,general,ethics; context
U0101-1,Master Interviews Transcripts.txt,Anna,113,113,"In your experience, how do trust and effectiveness connect? Do you have examples where you trusted someone but it wasn’t effective, or where something was effective but you didn’t really trust it?",trust/safety experience; perceived effectiveness,interpretive context,general,trust; effectiveness
U0102-1,Master Interviews Transcripts.txt,Daniel,114,114,"Yeah, both. Trusted but not effective: I had a mentor who was very kind and validating. I felt safe, I trusted her as a person.",trust/safety experience; perceived effectiveness; human coaching experience,trust depends on presence and empathy,hybrid,trust; effectiveness
U0102-2,Master Interviews Transcripts.txt,Daniel,114,114,"But she didn’t give concrete actions. I left feeling warm, but nothing changed.",perceived effectiveness; actionability/structure,effectiveness equals actionability,general,effectiveness; actionability
U0103-1,Master Interviews Transcripts.txt,Anna,115,115,And effective but not trusted?,trust/safety experience; perceived effectiveness,interpretive context,general,trust; effectiveness
U0104-1,Master Interviews Transcripts.txt,Daniel,116,116,"The big tech mentor. His advice had useful parts impact, decision-making story, stronger narrative. But I didn’t trust him because he seemed okay with exaggerating and he was distracted.",trust/safety experience; perceived effectiveness; human coaching experience,ethics and honesty shape trust,human,trust; effectiveness; ethics
U0104-2,Master Interviews Transcripts.txt,Daniel,116,116,"I still took some tips, but it cost energy. If you don’t trust, you second-guess everything, so it’s harder to act.",trust/safety experience,interpretive context,general,trust
U0105-1,Master Interviews Transcripts.txt,Anna,117,117,So distrust creates friction?,trust/safety experience,interpretive context,general,trust
U0106-1,Master Interviews Transcripts.txt,Daniel,118,118,Exactly. Trust makes implementation faster. Distrust makes me overthink.,trust/safety experience,trust-effectiveness multiplier,general,trust
U0106-2,Master Interviews Transcripts.txt,Daniel,118,118,Trust is like a multiplier.,trust/safety experience; ethical boundary concern,trust-effectiveness multiplier; ethics and honesty shape trust,general,trust; ethics
U0107-1,Master Interviews Transcripts.txt,Anna,119,119,"And with AI, do you see the same pattern?",ai tool usage,interpretive context,ai,general
U0108-1,Master Interviews Transcripts.txt,Daniel,120,121,"Yeah. AI can be effective but not trusted, like it writes something good but I don’t trust it’s authentic or accurate. And trusted but not effective is like emotional comfort—safe, but not changing anything long-term.",trust/safety experience; perceived effectiveness; ai tool usage,trust depends on presence and empathy; emotional support is limited,ai,trust; effectiveness; emotional support
U0108-2,Master Interviews Transcripts.txt,Daniel,120,121,8) Preferences & hybrid model reaction,hybrid preference; actionability/structure,effectiveness equals actionability,hybrid,actionability
U0109-1,Master Interviews Transcripts.txt,Anna,122,122,"Imagine a hybrid model where AI helps you prepare and organize things, and a human coach steps in for deeper conversations and decision points. What’s your reaction?",human coaching experience; ai tool usage; hybrid preference,effectiveness equals actionability,hybrid,actionability
U0110-1,Master Interviews Transcripts.txt,Daniel,123,123,"That sounds good. AI can handle the annoying part—rewriting, templates, checklists. And the human can do the meaning part and also verify reality.",human coaching experience; ai tool usage; actionability/structure,template advice undermines trust; ai useful for production tasks,hybrid,actionability
U0111-1,Master Interviews Transcripts.txt,Anna,124,124,Verify what?,general career context,interpretive context,general,general
U0112-1,Master Interviews Transcripts.txt,Daniel,125,125,"Context. Like what companies actually require German, what roles are truly junior-friendly, what hiring expectations look like here. AI might list companies, but a human in Germany can reality-check.",language barrier; human coaching experience; ai tool usage,human adds nuance and context,hybrid,context
U0113-1,Master Interviews Transcripts.txt,Anna,126,126,What would make you trust a hybrid system like that?,trust/safety experience; hybrid preference,interpretive context,hybrid,trust
U0114-1,Master Interviews Transcripts.txt,Daniel,127,127,Transparency about what AI does and doesn’t do. Privacy. And quality of matching for the human part.,privacy concern; human coaching experience; ai tool usage,privacy caution limits disclosure; matching drives trust,hybrid,privacy
U0114-2,Master Interviews Transcripts.txt,Daniel,127,127,"If the human part is random like ADPList sometimes, hybrid doesn’t solve it.",human coaching experience; hybrid preference,interpretive context,hybrid,general
U0115-1,Master Interviews Transcripts.txt,Anna,128,128,Matching seems central for you.,matching/fit,matching drives trust,general,general
